ID;G0100;G0101;G0102;G0103;G0104;G0105;G0106;G0108;G0110;G0111;G0112;G0113
430;;;;;;;;;Sem filtro;;;
431;;;;;;;;;Sem filtro;;;
432;;;;;;;;;Sem filtro;;;
433;;;;;;;;;Sem filtro;;;
434;;;;;;;;;Sem filtro;;;
435;;;;;;;;;Sem filtro;;;
436;;;;;;;;;Sem filtro;;;
437;;;;;;;;;Sem filtro;;;
438;;;;;;;;;Sem filtro;;;
439;;;;;;;;;Sem filtro;;;
440;;;;;;;;;Sem filtro;;;
441;;;;;;;;;Sem filtro;;;
442;;;;;;;;;Sem filtro;;;
443;;;;;;;;;Sem filtro;;;
444;;;;;;;;;;;;
445;;;;;;;;;;;;
446;;;;;;;;;;;;
447;;;;;;;;;;;;
448;;;;;;;;;;;;
449;;;;;;;;;;;;
450;;;;;;;;;;;;
451;;;;;;;;;;;;
452;;;;;;;;;;;;
453;;;;;;;;;;;;
454;;;;;;;;;;;;
455;;;;;;;;;;;;
456;;;;;;;;;;;;
457;Poço Escavado-Cacimba;8.00;;;;;;;;;;
458;;;;;;;;;;;;
459;;;;;;;;;;;;
460;;;;;;;;;;;;
461;Poço Escavado-Cacimba;6.00;;;;;;;;;;
462;;;;;;;;;;;;
463;;;;;;;;;;;;
464;;;;;;;;;;;;
465;;;;;;;;;;;;
466;;;;;;;;;;;;
467;;;;;;;;;;;;
468;;;;;;;;;;;;
469;Poço Escavado-Cacimba;5.00;;;;;;;;;;
470;;;;;;;;;;;;
471;;;;;;;;;;;;
472;;;;;;;;;;;;
473;;;;;;;;;;;;
474;;;;;;;;;;;;
475;;;;;;;;;;;;
476;;;;;;;;;;;;
477;;;;;;;;;;;;
478;;;;;;;;;;;;
479;;;;;;;;;;;;
480;;;;;;;;;;;;
481;Poço Tubular;;1.00;;;;;;;;;
482;;;;;;;;;;;;
483;Poço Tubular;70.00;0.5;10.00;;;;;Sem filtro;;Plástico PVC;
484;;;;;;;;;;;;
485;;;;;;;;;;;;
486;;;;;;;;;;;;
487;;;;;;;;;;;;
488;;;;;;;;;;;;
489;;;;;;;;;;;;
490;;;;;;;;;;;;
491;;;;;;;;;;;;
492;;;;;;;;;;;;
493;;;;;;;;;;;;
494;Poço Tubular;70.00;1.00;;;;;;;;;
495;;;;;;;;;;;;
496;;;;;;;;;;;;
497;Poço Tubular;58.00;1.00;;;;;;;;;
498;Poço Tubular;58.00;1.00;4.00;;;;;;;;
499;;;;;;;;;;;;
500;Poço Tubular;130.00;1.00;;;;01/10/2022;;;;;
501;;;;;;;;;;;;
502;;;;;;;;;;;;
503;;;;;;;;;;;;
504;;;;;;;;;;;;
505;;;;;;;;;;;;
506;;;;;;;;;;;;
507;;;;;;;;;;;;
508;;;;;;;;;;;;
509;;;;;;;;;;;;
510;;;;;;;;;;;;
511;;;;;;;;;;;;
512;;;;;;;;;;;;
513;;;;;;;;;;;;
514;;;;;;;;;;;;
515;;;;;;;;;;;;
516;;;;;;;;;;;;
517;;;;;;;;;;;;
518;;;;;;;;;;;;
519;;;;;;;;;;;;
520;;;;;;;;;;;;
521;;;;;;;;;;;;
522;;;;;;;;;;;;
523;;;;;;;;;;;;
524;;;;;;;;;;;;
525;;;;;;;;;;;;
526;;;;;;;;;;;;
527;;;;;;;;;;;;
528;;;;;;;;;;;;
529;;;;;;;;;;;;
530;;;;;;;;;;;;
531;Poço Tubular;64.00;0.5;4.00;;;;;;;;
532;Poço Tubular;42.00;0.5;4.00;;;;;;;;
533;;64.00;0.4;4.00;;;07/21/2019;;;;;
534;Poço Tubular;64.00;0.4;4.00;;;;;;;;
535;;;;;;;;;;;;
536;;;;;;;;;;;;
537;;;;;;;;;;;;
538;;;;;;;;;;;;
539;;;;;;;;;;;;
540;;;;;;;;;;;;
541;;;;;;;;;;;;
542;;;;;;;;;;;;
543;;;;;;;;;;;;
544;;;;;;;;;;;;
545;;;;;;;;;;;;
546;;65.00;0.5;4.00;;;;;;;;
547;;;;;;;;;;;;
548;;;;;;;;;;;;
549;Poço Tubular;50.00;0.5;4.00;;;;;;;;
550;;;;;;;;;;;;
551;;;;;;;;;;;;
552;;;;;;;;;;;;
553;Poço Tubular;50.00;0.5;4.00;;;;;;;;
554;;;;;;;;;;;;
555;;;;;;;;;;;;
556;Poço Tubular;65.00;0.8;4.00;;;;;;;;
557;Poço Tubular;80.00;0.5;4.00;;;;;;;;
558;;;;;;;;;;;;
559;;;;;;;;;;;;
560;;;;;;;;;;;;
561;;;;;;;;;;;;
562;;;;;;;;;;;;
563;;;;;;;;;;;;
564;;;;;;;;;;;;
565;;;;;;;;;;;;
566;;;;;;;;;;;;
567;;;;;;;;;;;;
568;;;;;;;;;;;;
569;Poço Tubular;84.00;0.5;;;;;;;;;
570;;;;;;;;;;;;
571;;;;;;;;;;;;
572;;;;;;;;;;;;
573;Poço Tubular;84.00;0.5;4.00;;;;;;;;
574;;;;;;;;;;;;
